,Unnamed: 0,time,Date,sym,bid price(open),bid price(high),bid price(low),Bid Price,ask price(open),ask price(high),ask price(low),Ask Price,RSI_ask_4,RSI_ask_4_shift,RSI_bid_4,RSI_bid_4_shift,ATR,Hour
78,78,2020-01-08 05:29:51.526792+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2382.5234,2379,2402,2354,2384.4768,47.61155120169578,59.312418324151594,49.512621146110625,55.8266677555867,168.0,5
79,79,2020-01-08 05:39:56.967757+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2386.5226,2379,2402,2354,2388.4776,65.67094031943353,47.61155120169578,68.50846621412576,49.512621146110625,168.0,5
80,80,2020-01-08 05:49:59.244524+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2386.5226,2379,2402,2354,2388.4776,65.67094031943353,65.67094031943353,68.50846621412578,68.50846621412576,168.0,5
81,81,2020-01-08 05:59:59.015231+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2386.5226,2379,2402,2354,2389.4778,70.23171678622306,65.67094031943353,68.50846621412578,68.50846621412578,168.0,5
82,82,2020-01-09 00:09:57.446591+00:00,1/9/20,STOCK|XTKS|8473|,2430,2442,2390,2440.5118,2431,2444,2391,2443.4886,97.18251121757241,70.23171678622306,97.5850014123866,68.50846621412578,169.63054999999997,0
83,83,2020-01-09 00:19:59.997156+00:00,1/9/20,STOCK|XTKS|8473|,2430,2442,2390,2427.5144,2431,2444,2391,2430.486,75.29984664347722,97.18251121757241,75.27546218620162,97.5850014123866,170.88054999999997,0
84,84,2020-01-09 00:29:59.254465+00:00,1/9/20,STOCK|XTKS|8473|,2430,2442,2390,2427.5144,2431,2444,2391,2429.4858,73.60009356283715,75.29984664347722,75.27546218620162,75.27546218620162,172.13054999999997,0
85,85,2020-01-09 00:39:59.458436+00:00,1/9/20,STOCK|XTKS|8473|,2430,2442,2390,2431.5136,2431,2444,2391,2434.4868,77.05328743671731,73.60009356283715,78.0237107106676,75.27546218620162,173.38054999999997,0
86,86,2020-01-09 00:49:59.026600+00:00,1/9/20,STOCK|XTKS|8473|,2430,2442,2390,2429.514,2431,2444,2391,2432.4864,72.02845697455145,77.05328743671731,72.6407999423943,78.0237107106676,174.63054999999997,0
87,87,2020-01-09 00:59:57.531504+00:00,1/9/20,STOCK|XTKS|8473|,2430,2442,2390,2428.5142,2431,2444,2391,2430.486,66.26658544798173,72.02845697455145,69.4466828912955,72.6407999423943,175.88054999999997,0
88,88,2020-01-09 01:09:52.403682+00:00,1/9/20,STOCK|XTKS|8473|,2430,2442,2390,2426.5146,2431,2444,2391,2428.4856,59.879850365266925,66.26658544798173,62.15819651252396,69.4466828912955,177.13054999999997,1
89,89,2020-01-09 01:19:49.419690+00:00,1/9/20,STOCK|XTKS|8473|,2430,2442,2390,2426.5146,2431,2444,2391,2428.4856,59.879850365266925,59.879850365266925,62.15819651252396,62.15819651252396,178.38054999999997,1
90,90,2020-01-09 01:29:59.133806+00:00,1/9/20,STOCK|XTKS|8473|,2430,2442,2390,2428.5142,2431,2444,2391,2430.486,65.74853686671784,59.879850365266925,68.108490101561,62.15819651252396,179.63054999999997,1
91,91,2020-01-09 01:39:57.474339+00:00,1/9/20,STOCK|XTKS|8473|,2430,2442,2390,2431.5136,2431,2444,2391,2433.4866,73.50097428066324,65.74853686671784,75.73835446289806,68.108490101561,180.88054999999997,1
92,92,2020-01-09 01:49:58.022576+00:00,1/9/20,STOCK|XTKS|8473|,2430,2442,2390,2425.5148,2431,2444,2391,2427.4854,45.835828671443,73.50097428066324,46.23873505095364,75.73835446289806,182.13054999999997,1
93,93,2020-01-09 01:59:38.488011+00:00,1/9/20,STOCK|XTKS|8473|,2430,2442,2390,2416.5166,2431,2444,2391,2418.4836,26.150314143549977,45.835828671443,25.99160056058878,46.23873505095364,183.38054999999997,1
94,94,2020-01-09 02:09:55.259367+00:00,1/9/20,STOCK|XTKS|8473|,2430,2442,2390,2411.5176,2431,2444,2391,2413.4826,19.838912962431422,26.150314143549977,19.62581997540387,25.99160056058878,184.63054999999997,2
95,95,2020-01-09 02:19:55.031187+00:00,1/9/20,STOCK|XTKS|8473|,2430,2442,2390,2412.5174,2431,2444,2391,2414.4828,24.68613112209576,19.838912962431422,24.55332928647745,19.62581997540387,185.88054999999997,2
96,96,2020-01-09 02:29:59.887228+00:00,1/9/20,STOCK|XTKS|8473|,2430,2442,2390,2411.5176,2431,2444,2391,2414.4828,24.68613112209576,24.68613112209576,22.697935916201757,24.55332928647745,185.5,2
97,97,2020-01-09 02:30:00.070359+00:00,1/9/20,STOCK|XTKS|8473|,2430,2442,2390,2411.5176,2431,2444,2391,2414.4828,24.68613112209576,24.68613112209576,22.697935916201757,22.697935916201757,185.5,2
98,98,2020-01-09 03:39:57.324465+00:00,1/9/20,STOCK|XTKS|8473|,2430,2442,2390,2405.5188,2431,2444,2391,2407.4814,12.322556753314572,24.68613112209576,12.567821641581972,22.697935916201757,185.5,3
99,99,2020-01-09 03:49:55.052913+00:00,1/9/20,STOCK|XTKS|8473|,2430,2442,2390,2409.518,2431,2444,2391,2411.4822,36.538526028069555,12.322556753314572,37.40143168383404,12.567821641581972,185.5,3
100,100,2020-01-09 03:59:52.736409+00:00,1/9/20,STOCK|XTKS|8473|,2430,2442,2390,2405.5188,2431,2444,2391,2407.4814,26.7044037803049,36.538526028069555,27.127836410852765,37.40143168383404,185.5,3
